"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"14332","41126","2021",22,22,0,113631.5,1141.409,103.4545
"14333","41127","2021",14,14,0,114759.3,1475.143,80.85714
"14334","41128","2021",11,11,0,136600,1526.182,92.81818
"14335","41129","2021",12,12,0,246318.3,1890.833,134
"14336","41130","2021",6,6,0,131116.7,1122.167,117
"14337","41131","2021",19,19,0,114453.2,1337.105,90.47368
"14338","41132","2021",3,3,0,103333.3,1234.667,72.66667
"14339","41134","2021",10,10,0,240350,1541.2,144.9
"14340","41135","2021",33,32,1,83915.15,1080.545,83.45455
"14341","41136","2021",98,89,9,132967.6,1544.122,87.78571
"14342","41137","2021",10,10,0,172530,1291.8,125.1
"14343","41138","2021",6,6,0,135671.7,1375.333,96.5
"14344","41139","2021",23,23,0,107272.6,1080.348,105.6522
"14345","41140","2021",18,18,0,120397.2,1213.222,103.3889
"14346","41141","2021",6,6,0,126000,1697.667,75.33333
"14347","41142","2021",33,33,0,198827.1,1860.576,116.7879
"14348","41143","2021",27,27,0,83748.15,952.8148,88.48148
"14349","41144","2021",9,9,0,116822.2,1286.222,89
"14350","41145","2021",10,10,0,110342.5,1353.9,85.8
"14351","41146","2021",21,21,0,165422.9,1417.19,110.381
"14352","41147","2021",26,26,0,170924,1686.654,105.9615
"14353","41148","2021",22,22,0,163227.7,1688.682,98.72727
"14354","41149","2021",87,82,5,125106,1221.793,102.3678
"14355","41150","2021",44,43,1,215556.4,1997.182,110.8182
"14356","41151","2021",103,82,21,126699.2,1503.592,82.19417
"14357","41152","2021",18,17,1,187486.1,1660.389,107.5
"14358","41153","2021",2,2,0,126500,906,128
"14359","41154","2021",23,23,0,114065.7,1228.261,94.21739
"14360","41155","2021",24,24,0,160729.2,1587.5,99.16667
"14361","41156","2021",6,6,0,197358.5,1758.667,113.5
"14362","41157","2021",23,23,0,173909.3,1962.522,113.5217
"14363","41158","2021",31,31,0,176906.1,1682.29,107.4839
"14364","41159","2021",24,24,0,212332.9,1987.125,107.625
"14365","41160","2021",5,5,0,130500,1459.4,90.8
"14366","41161","2021",35,35,0,132224.2,1479.4,92.65714
"14367","41163","2021",2,2,0,131500,1362.5,96.5
"14368","41164","2021",48,47,1,113126.2,1276.375,88.83333
"14369","41166","2021",4,4,0,79750,930.75,78.75
"14370","41167","2021",61,60,1,151580.9,1489.213,100.8197
"14371","41168","2021",6,6,0,79250,821.3333,89
"14372","41171","2021",24,24,0,103561.7,994.875,109.2917
"14373","41172","2021",4,4,0,69000,780,88.25
"14374","41173","2021",56,55,1,127562,1288.964,102.0357
"14375","41174","2021",7,7,0,167985.7,1470,121
"14376","41175","2021",25,25,0,93957.2,1212.44,83.2
"14377","41176","2021",23,23,0,117504.3,1428.087,84.04348
"14378","41177","2021",6,6,0,104916.7,1007.833,104.3333
"14379","41178","2021",1,1,0,156900,1890,83
"14380","41179","2021",4,4,0,100037.5,1486,73
"14381","41180","2021",3,3,0,75000,1025,65.33333
"14382","41181","2021",19,19,0,108178.9,1198.895,91.73684
